data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-19,12101323.0,2.0,0.0,1.0,
2020-02-20,12101322.0,3.0,0.0,1.0,
2020-02-21,12101321.0,4.0,0.0,1.0,
2020-02-22,12101319.0,6.0,1.0,2.0,
2020-02-23,12101316.0,8.0,1.0,3.0,
2020-02-24,12101312.0,11.0,2.0,4.0,2.0
2020-02-25,12101307.0,15.0,3.0,5.0,4.0
2020-02-26,12101300.0,21.0,4.0,7.0,2.0
2020-02-27,12101289.0,30.0,6.0,10.0,3.0
2020-02-28,12101274.0,42.0,8.0,14.0,8.0
2020-02-29,12101254.0,59.0,12.0,20.0,15.0
2020-03-01,12101225.0,83.0,17.0,28.0,22.0
2020-03-02,12101185.0,116.0,24.0,39.0,23.0
2020-03-03,12101128.0,163.0,34.0,54.0,46.0
2020-03-04,12101048.0,229.0,48.0,76.0,83.0
2020-03-05,12100938.0,320.0,67.0,107.0,125.0
2020-03-06,12100790.0,441.0,94.0,147.0,165.0
2020-03-07,12100597.0,597.0,131.0,199.0,233.0
2020-03-08,12100349.0,796.0,181.0,265.0,303.0
2020-03-09,12100034.0,1045.0,246.0,348.0,372.0
2020-03-10,12099640.0,1353.0,331.0,451.0,448.0
2020-03-11,12099156.0,1728.0,441.0,576.0,536.0
2020-03-12,12098567.0,2178.0,580.0,726.0,680.0
2020-03-13,12097861.0,2710.0,754.0,903.0,870.0
2020-03-14,12097025.0,3331.0,969.0,1110.0,1160.0
2020-03-15,12096046.0,4047.0,1232.0,1349.0,1443.0
2020-03-16,12094913.0,4863.0,1550.0,1621.0,1652.0
2020-03-17,12093615.0,5781.0,1929.0,1927.0,2001.0
2020-03-18,12092145.0,6802.0,2378.0,2267.0,2452.0
2020-03-19,12090497.0,7925.0,2903.0,2642.0,2895.0
2020-03-20,12088665.0,9147.0,3512.0,3049.0,3470.0
2020-03-21,12086650.0,10463.0,4212.0,3488.0,3979.0
2020-03-22,12084451.0,11865.0,5009.0,3955.0,4507.0
2020-03-23,12082072.0,13344.0,5909.0,4448.0,4926.0
2020-03-24,12079519.0,14889.0,6917.0,4963.0,5365.0
2020-03-25,12076801.0,16487.0,8037.0,5496.0,5928.0
2020-03-26,12073929.0,18123.0,9273.0,6041.0,6519.0
2020-03-27,12070915.0,19783.0,10627.0,6594.0,7018.0
2020-03-28,12067774.0,21451.0,12100.0,7150.0,7715.0
2020-03-29,12064522.0,23111.0,13691.0,7704.0,8314.0
2020-03-30,12061177.0,24748.0,15401.0,8249.0,8657.0
2020-03-31,12057755.0,26344.0,17226.0,8781.0,9027.0
2020-04-01,12054277.0,27886.0,19163.0,9295.0,9396.0
2020-04-02,12050759.0,29358.0,21208.0,9786.0,9937.0
2020-04-03,12047221.0,30749.0,23355.0,10250.0,10283.0
2020-04-04,12043680.0,32047.0,25598.0,10682.0,10614.0
2020-04-05,12040153.0,33241.0,27931.0,11080.0,10876.0
2020-04-06,12036658.0,34323.0,30344.0,11441.0,11085.0
2020-04-07,12033208.0,35286.0,32831.0,11762.0,11314.0
2020-04-08,12029817.0,36126.0,35382.0,12042.0,11543.0
2020-04-09,12026499.0,36837.0,37989.0,12279.0,11782.0
2020-04-10,12023264.0,37420.0,40642.0,12473.0,12035.0
2020-04-11,12020122.0,37872.0,43331.0,12624.0,12362.0
2020-04-12,12017081.0,38195.0,46049.0,12732.0,12610.0
2020-04-13,12014148.0,38392.0,48785.0,12797.0,12782.0
2020-04-14,12011329.0,38466.0,51530.0,12822.0,12996.0
2020-04-15,12008627.0,38421.0,54277.0,12807.0,13062.0
2020-04-16,12006046.0,38263.0,57016.0,12754.0,13346.0
2020-04-17,12003586.0,37998.0,59741.0,12666.0,
2020-04-18,12001250.0,37633.0,62442.0,12544.0,
2020-04-19,11999036.0,37174.0,65115.0,12391.0,
2020-04-20,11996944.0,36631.0,67751.0,12210.0,
2020-04-21,11994971.0,36009.0,70346.0,12003.0,
2020-04-22,11993115.0,35317.0,72893.0,11772.0,
2020-04-23,11991373.0,34563.0,75389.0,11521.0,
2020-04-24,11989741.0,33754.0,77830.0,11251.0,
2020-04-25,11988217.0,32898.0,80210.0,10966.0,
2020-04-26,11986794.0,32003.0,82528.0,10668.0,
2020-04-27,11985469.0,31074.0,84781.0,10358.0,
2020-04-28,11984238.0,30120.0,86967.0,10040.0,
2020-04-29,11983096.0,29145.0,89084.0,9715.0,
2020-04-30,11982038.0,28157.0,91130.0,9386.0,
2020-05-01,11981059.0,27160.0,93106.0,9053.0,
2020-05-02,11980155.0,26159.0,95010.0,8720.0,
2020-05-03,11979322.0,25160.0,96843.0,8387.0,
2020-05-04,11978555.0,24166.0,98605.0,8055.0,
2020-05-05,11977849.0,23181.0,100295.0,7727.0,
2020-05-06,11977200.0,22208.0,101916.0,7403.0,
2020-05-07,11976606.0,21251.0,103468.0,7084.0,
2020-05-08,11976061.0,20312.0,104953.0,6771.0,
2020-05-09,11975562.0,19392.0,106371.0,6464.0,
2020-05-10,11975106.0,18495.0,107724.0,6165.0,
2020-05-11,11974690.0,17622.0,109013.0,5874.0,
2020-05-12,11974309.0,16774.0,110242.0,5591.0,
2020-05-13,11973963.0,15952.0,111410.0,5317.0,
2020-05-14,11973647.0,15156.0,112521.0,5052.0,
2020-05-15,11973360.0,14389.0,113576.0,4796.0,
2020-05-16,11973099.0,13649.0,114577.0,4550.0,
2020-05-17,11972862.0,12936.0,115527.0,4312.0,
2020-05-18,11972647.0,12252.0,116426.0,4084.0,
2020-05-19,11972451.0,11596.0,117277.0,3865.0,
2020-05-20,11972274.0,10967.0,118083.0,3656.0,
2020-05-21,11972114.0,10366.0,118845.0,3455.0,
2020-05-22,11971969.0,9792.0,119565.0,3264.0,
2020-05-23,11971837.0,9243.0,120244.0,3081.0,
2020-05-24,11971719.0,8721.0,120886.0,2907.0,
2020-05-25,11971611.0,8223.0,121491.0,2741.0,
