data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-07,30235434.0,2.0,0.0,1.0,
2020-02-08,30235433.0,3.0,0.0,1.0,
2020-02-09,30235432.0,4.0,0.0,1.0,
2020-02-10,30235430.0,6.0,1.0,2.0,
2020-02-11,30235427.0,8.0,1.0,3.0,
2020-02-12,30235423.0,11.0,2.0,4.0,
2020-02-13,30235418.0,15.0,3.0,5.0,
2020-02-14,30235411.0,21.0,4.0,7.0,
2020-02-15,30235400.0,30.0,6.0,10.0,
2020-02-16,30235385.0,42.0,8.0,14.0,
2020-02-17,30235365.0,59.0,12.0,20.0,
2020-02-18,30235336.0,83.0,17.0,28.0,
2020-02-19,30235296.0,116.0,24.0,39.0,
2020-02-20,30235239.0,163.0,34.0,54.0,
2020-02-21,30235159.0,229.0,48.0,76.0,
2020-02-22,30235048.0,321.0,67.0,107.0,
2020-02-23,30234891.0,450.0,95.0,150.0,
2020-02-24,30234671.0,632.0,133.0,211.0,219.0
2020-02-25,30234369.0,880.0,186.0,293.0,304.0
2020-02-26,30233967.0,1209.0,261.0,403.0,380.0
2020-02-27,30233438.0,1637.0,362.0,546.0,579.0
2020-02-28,30232751.0,2188.0,497.0,729.0,803.0
2020-02-29,30231872.0,2886.0,678.0,962.0,1015.0
2020-03-01,30230760.0,3762.0,914.0,1254.0,1527.0
2020-03-02,30229371.0,4845.0,1220.0,1615.0,1785.0
2020-03-03,30227655.0,6169.0,1612.0,2056.0,2173.0
2020-03-04,30225559.0,7769.0,2108.0,2590.0,2565.0
2020-03-05,30223029.0,9678.0,2729.0,3226.0,3093.0
2020-03-06,30220003.0,11934.0,3499.0,3978.0,3645.0
2020-03-07,30216424.0,14569.0,4443.0,4856.0,4699.0
2020-03-08,30212229.0,17617.0,5590.0,5872.0,5873.0
2020-03-09,30207361.0,21105.0,6970.0,7035.0,7363.0
2020-03-10,30201762.0,25058.0,8616.0,8353.0,7787.0
2020-03-11,30195378.0,29497.0,10561.0,9832.0,9691.0
2020-03-12,30188162.0,34433.0,12842.0,11478.0,11697.0
2020-03-13,30180071.0,39873.0,15492.0,13291.0,13535.0
2020-03-14,30171071.0,45815.0,18550.0,15272.0,15925.0
2020-03-15,30161137.0,52250.0,22049.0,17417.0,18321.0
2020-03-16,30150252.0,59159.0,26025.0,19720.0,20439.0
2020-03-17,30138410.0,66515.0,30511.0,22172.0,22845.0
2020-03-18,30125614.0,74284.0,35537.0,24761.0,24921.0
