data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-23,6639480.0,2.0,0.0,1.0,
2020-02-24,6639479.0,3.0,0.0,1.0,0.0
2020-02-25,6639478.0,4.0,0.0,1.0,3.0
2020-02-26,6639476.0,6.0,1.0,2.0,3.0
2020-02-27,6639473.0,8.0,1.0,3.0,2.0
2020-02-28,6639469.0,11.0,2.0,4.0,2.0
2020-02-29,6639464.0,15.0,3.0,5.0,2.0
2020-03-01,6639457.0,21.0,4.0,7.0,7.0
2020-03-02,6639446.0,30.0,6.0,10.0,5.0
2020-03-03,6639432.0,42.0,8.0,14.0,6.0
2020-03-04,6639413.0,57.0,12.0,19.0,18.0
2020-03-05,6639388.0,77.0,17.0,26.0,18.0
2020-03-06,6639356.0,103.0,23.0,34.0,27.0
2020-03-07,6639316.0,135.0,32.0,45.0,38.0
2020-03-08,6639264.0,175.0,43.0,58.0,62.0
2020-03-09,6639200.0,225.0,57.0,75.0,71.0
2020-03-10,6639121.0,286.0,75.0,95.0,80.0
2020-03-11,6639026.0,358.0,98.0,119.0,118.0
2020-03-12,6638910.0,445.0,126.0,148.0,150.0
2020-03-13,6638773.0,547.0,162.0,182.0,169.0
2020-03-14,6638611.0,666.0,205.0,222.0,197.0
2020-03-15,6638422.0,802.0,257.0,267.0,254.0
2020-03-16,6638204.0,958.0,320.0,319.0,308.0
2020-03-17,6637953.0,1134.0,395.0,378.0,341.0
2020-03-18,6637669.0,1331.0,483.0,444.0,399.0
2020-03-19,6637348.0,1548.0,585.0,516.0,525.0
2020-03-20,6636990.0,1788.0,704.0,596.0,667.0
2020-03-21,6636593.0,2048.0,841.0,683.0,779.0
2020-03-22,6636156.0,2329.0,997.0,776.0,923.0
2020-03-23,6635678.0,2629.0,1174.0,876.0,1024.0
2020-03-24,6635160.0,2948.0,1373.0,983.0,1194.0
2020-03-25,6634602.0,3284.0,1596.0,1095.0,1348.0
2020-03-26,6634005.0,3634.0,1843.0,1211.0,1557.0
2020-03-27,6633370.0,3997.0,2115.0,1332.0,1654.0
2020-03-28,6632698.0,4370.0,2414.0,1457.0,1811.0
2020-03-29,6631992.0,4750.0,2740.0,1583.0,1912.0
2020-03-30,6631255.0,5134.0,3093.0,1711.0,2030.0
2020-03-31,6630488.0,5521.0,3473.0,1840.0,2149.0
2020-04-01,6629696.0,5905.0,3881.0,1968.0,2219.0
2020-04-02,6628880.0,6285.0,4317.0,2095.0,2324.0
2020-04-03,6628046.0,6657.0,4779.0,2219.0,2408.0
2020-04-04,6627195.0,7019.0,5268.0,2340.0,2515.0
2020-04-05,6626333.0,7368.0,5781.0,2456.0,2589.0
2020-04-06,6625462.0,7701.0,6320.0,2567.0,2634.0
2020-04-07,6624586.0,8015.0,6881.0,2672.0,2680.0
2020-04-08,6623709.0,8309.0,7464.0,2770.0,2733.0
2020-04-09,6622834.0,8580.0,8068.0,2860.0,2818.0
2020-04-10,6621965.0,8828.0,8689.0,2943.0,2843.0
2020-04-11,6621104.0,9050.0,9328.0,3017.0,2889.0
2020-04-12,6620255.0,9246.0,9982.0,3082.0,2933.0
2020-04-13,6619420.0,9414.0,10648.0,3138.0,2964.0
2020-04-14,6618601.0,9555.0,11326.0,3185.0,2971.0
2020-04-15,6617802.0,9668.0,12013.0,3223.0,2951.0
2020-04-16,6617023.0,9753.0,12706.0,3251.0,2973.0
2020-04-17,6616266.0,9811.0,13405.0,3270.0,
2020-04-18,6615534.0,9841.0,14107.0,3280.0,
2020-04-19,6614826.0,9846.0,14810.0,3282.0,
2020-04-20,6614144.0,9825.0,15513.0,3275.0,
2020-04-21,6613489.0,9779.0,16213.0,3260.0,
2020-04-22,6612862.0,9711.0,16910.0,3237.0,
2020-04-23,6612261.0,9621.0,17600.0,3207.0,
2020-04-24,6611689.0,9510.0,18283.0,3170.0,
2020-04-25,6611143.0,9381.0,18958.0,3127.0,
2020-04-26,6610625.0,9234.0,19623.0,3078.0,
2020-04-27,6610134.0,9071.0,20277.0,3024.0,
2020-04-28,6609669.0,8894.0,20919.0,2965.0,
2020-04-29,6609230.0,8705.0,21547.0,2902.0,
2020-04-30,6608816.0,8504.0,22162.0,2835.0,
2020-05-01,6608427.0,8294.0,22762.0,2765.0,
2020-05-02,6608061.0,8075.0,23347.0,2692.0,
2020-05-03,6607717.0,7849.0,23915.0,2616.0,
2020-05-04,6607396.0,7618.0,24468.0,2539.0,
2020-05-05,6607095.0,7383.0,25004.0,2461.0,
2020-05-06,6606814.0,7145.0,25522.0,2382.0,
2020-05-07,6606553.0,6905.0,26024.0,2302.0,
2020-05-08,6606309.0,6664.0,26509.0,2221.0,
2020-05-09,6606082.0,6423.0,26976.0,2141.0,
2020-05-10,6605872.0,6184.0,27426.0,2061.0,
2020-05-11,6605676.0,5946.0,27860.0,1982.0,
2020-05-12,6605495.0,5711.0,28276.0,1904.0,
2020-05-13,6605328.0,5478.0,28676.0,1826.0,
2020-05-14,6605173.0,5250.0,29059.0,1750.0,
2020-05-15,6605030.0,5026.0,29426.0,1675.0,
2020-05-16,6604898.0,4807.0,29777.0,1602.0,
2020-05-17,6604777.0,4593.0,30113.0,1531.0,
2020-05-18,6604665.0,4384.0,30433.0,1461.0,
2020-05-19,6604562.0,4181.0,30739.0,1394.0,
2020-05-20,6604467.0,3985.0,31031.0,1328.0,
2020-05-21,6604380.0,3794.0,31308.0,1265.0,
2020-05-22,6604300.0,3609.0,31573.0,1203.0,
2020-05-23,6604227.0,3431.0,31824.0,1144.0,
2020-05-24,6604160.0,3259.0,32063.0,1086.0,
2020-05-25,6604098.0,3094.0,32290.0,1031.0,
2020-05-26,6604042.0,2935.0,32505.0,978.0,
2020-05-27,6603991.0,2782.0,32709.0,927.0,
2020-05-28,6603944.0,2635.0,32903.0,878.0,
2020-05-29,6603901.0,2495.0,33086.0,832.0,
2020-05-30,6603862.0,2361.0,33259.0,787.0,
2020-05-31,6603826.0,2232.0,33423.0,744.0,
2020-06-01,6603794.0,2110.0,33578.0,703.0,
2020-06-02,6603764.0,1993.0,33725.0,664.0,
2020-06-03,6603737.0,1882.0,33863.0,627.0,
2020-06-04,6603713.0,1776.0,33994.0,592.0,
2020-06-05,6603690.0,1675.0,34117.0,558.0,
2020-06-06,6603670.0,1579.0,34233.0,526.0,
2020-06-07,6603651.0,1488.0,34343.0,496.0,
2020-06-08,6603635.0,1401.0,34446.0,467.0,
2020-06-09,6603619.0,1320.0,34543.0,440.0,
2020-06-10,6603606.0,1242.0,34634.0,414.0,
2020-06-11,6603593.0,1168.0,34720.0,389.0,
2020-06-12,6603582.0,1099.0,34801.0,366.0,
2020-06-13,6603571.0,1033.0,34878.0,344.0,
2020-06-14,6603562.0,971.0,34949.0,324.0,
2020-06-15,6603554.0,912.0,35016.0,304.0,
2020-06-16,6603546.0,857.0,35079.0,286.0,
2020-06-17,6603539.0,804.0,35139.0,268.0,
2020-06-18,6603533.0,755.0,35194.0,252.0,
2020-06-19,6603527.0,708.0,35247.0,236.0,
2020-06-20,6603522.0,664.0,35296.0,221.0,
2020-06-21,6603517.0,623.0,35342.0,208.0,
2020-06-22,6603513.0,584.0,35385.0,195.0,
2020-06-23,6603509.0,548.0,35425.0,183.0,
2020-06-24,6603506.0,513.0,35463.0,171.0,
2020-06-25,6603503.0,481.0,35499.0,160.0,
2020-06-26,6603500.0,450.0,35532.0,150.0,
2020-06-27,6603497.0,422.0,35563.0,141.0,
2020-06-28,6603495.0,395.0,35592.0,132.0,
2020-06-29,6603493.0,370.0,35619.0,123.0,
2020-06-30,6603491.0,346.0,35645.0,115.0,
2020-07-01,6603489.0,324.0,35669.0,108.0,
2020-07-02,6603488.0,303.0,35691.0,101.0,
2020-07-03,6603487.0,283.0,35712.0,94.0,
2020-07-04,6603485.0,265.0,35732.0,88.0,
2020-07-05,6603484.0,248.0,35750.0,83.0,
2020-07-06,6603483.0,232.0,35767.0,77.0,
2020-07-07,6603482.0,217.0,35783.0,72.0,
2020-07-08,6603482.0,202.0,35798.0,67.0,
2020-07-09,6603481.0,189.0,35812.0,63.0,
2020-07-10,6603480.0,177.0,35825.0,59.0,
2020-07-11,6603480.0,165.0,35837.0,55.0,
2020-07-12,6603479.0,154.0,35849.0,51.0,
2020-07-13,6603479.0,144.0,35859.0,48.0,
2020-07-14,6603478.0,135.0,35869.0,45.0,
2020-07-15,6603478.0,126.0,35879.0,42.0,
2020-07-16,6603477.0,117.0,35887.0,39.0,
2020-07-17,6603477.0,110.0,35895.0,37.0,
2020-07-18,6603477.0,102.0,35903.0,34.0,
2020-07-19,6603476.0,96.0,35910.0,32.0,
2020-07-20,6603476.0,89.0,35917.0,30.0,
2020-07-21,6603476.0,83.0,35923.0,28.0,
2020-07-22,6603476.0,78.0,35929.0,26.0,
2020-07-23,6603476.0,72.0,35934.0,24.0,
2020-07-24,6603476.0,68.0,35939.0,23.0,
2020-07-25,6603475.0,63.0,35944.0,21.0,
2020-07-26,6603475.0,59.0,35948.0,20.0,
2020-07-27,6603475.0,55.0,35952.0,18.0,
2020-07-28,6603475.0,51.0,35956.0,17.0,
2020-07-29,6603475.0,48.0,35959.0,16.0,
2020-07-30,6603475.0,45.0,35963.0,15.0,
2020-07-31,6603475.0,42.0,35966.0,14.0,
2020-08-01,6603475.0,39.0,35969.0,13.0,
2020-08-02,6603475.0,36.0,35971.0,12.0,
2020-08-03,6603475.0,34.0,35974.0,11.0,
2020-08-04,6603475.0,31.0,35976.0,10.0,
2020-08-05,6603475.0,29.0,35978.0,10.0,
2020-08-06,6603474.0,27.0,35980.0,9.0,
2020-08-07,6603474.0,25.0,35982.0,8.0,
2020-08-08,6603474.0,24.0,35984.0,8.0,
2020-08-09,6603474.0,22.0,35985.0,7.0,
2020-08-10,6603474.0,21.0,35987.0,7.0,
2020-08-11,6603474.0,19.0,35988.0,6.0,
2020-08-12,6603474.0,18.0,35990.0,6.0,
2020-08-13,6603474.0,17.0,35991.0,6.0,
2020-08-14,6603474.0,16.0,35992.0,5.0,
2020-08-15,6603474.0,15.0,35993.0,5.0,
2020-08-16,6603474.0,14.0,35994.0,5.0,
2020-08-17,6603474.0,13.0,35995.0,4.0,
2020-08-18,6603474.0,12.0,35996.0,4.0,
2020-08-19,6603474.0,11.0,35997.0,4.0,
2020-08-20,6603474.0,10.0,35998.0,3.0,
2020-08-21,6603474.0,9.0,35998.0,3.0,
2020-08-22,6603474.0,9.0,35999.0,3.0,
2020-08-23,6603474.0,8.0,36000.0,3.0,
2020-08-24,6603474.0,8.0,36000.0,3.0,
2020-08-25,6603474.0,7.0,36001.0,2.0,
2020-08-26,6603474.0,7.0,36001.0,2.0,
2020-08-27,6603474.0,6.0,36002.0,2.0,
2020-08-28,6603474.0,6.0,36002.0,2.0,
2020-08-29,6603474.0,5.0,36002.0,2.0,
2020-08-30,6603474.0,5.0,36003.0,2.0,
2020-08-31,6603474.0,5.0,36003.0,2.0,
2020-09-01,6603474.0,4.0,36003.0,1.0,
2020-09-02,6603474.0,4.0,36004.0,1.0,
2020-09-03,6603474.0,4.0,36004.0,1.0,
2020-09-04,6603474.0,4.0,36004.0,1.0,
2020-09-05,6603474.0,3.0,36005.0,1.0,
2020-09-06,6603474.0,3.0,36005.0,1.0,
2020-09-07,6603474.0,3.0,36005.0,1.0,
2020-09-08,6603474.0,3.0,36005.0,1.0,
2020-09-09,6603474.0,2.0,36005.0,1.0,
