data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-07,29273536.0,2.0,0.0,1.0,
2020-02-08,29273535.0,3.0,0.0,1.0,
2020-02-09,29273534.0,4.0,0.0,1.0,
2020-02-10,29273532.0,6.0,1.0,2.0,
2020-02-11,29273529.0,8.0,1.0,3.0,
2020-02-12,29273525.0,11.0,2.0,4.0,
2020-02-13,29273520.0,15.0,3.0,5.0,
2020-02-14,29273513.0,21.0,4.0,7.0,
2020-02-15,29273502.0,30.0,6.0,10.0,
2020-02-16,29273487.0,42.0,8.0,14.0,
2020-02-17,29273467.0,59.0,12.0,20.0,
2020-02-18,29273438.0,83.0,17.0,28.0,
2020-02-19,29273398.0,116.0,24.0,39.0,
2020-02-20,29273341.0,163.0,34.0,54.0,
2020-02-21,29273261.0,229.0,48.0,76.0,
2020-02-22,29273150.0,321.0,67.0,107.0,
2020-02-23,29272993.0,450.0,95.0,150.0,
2020-02-24,29272773.0,632.0,133.0,211.0,219.0
2020-02-25,29272471.0,880.0,186.0,293.0,304.0
2020-02-26,29272069.0,1209.0,261.0,403.0,380.0
2020-02-27,29271539.0,1637.0,362.0,546.0,579.0
2020-02-28,29270852.0,2189.0,497.0,730.0,803.0
2020-02-29,29269971.0,2889.0,678.0,963.0,1015.0
2020-03-01,29268857.0,3767.0,914.0,1256.0,1527.0
2020-03-02,29267464.0,4853.0,1221.0,1618.0,1785.0
2020-03-03,29265742.0,6182.0,1613.0,2061.0,2173.0
2020-03-04,29263639.0,7789.0,2111.0,2596.0,2565.0
2020-03-05,29261096.0,9709.0,2734.0,3236.0,3093.0
2020-03-06,29258054.0,11978.0,3506.0,3993.0,3645.0
2020-03-07,29254452.0,14632.0,4454.0,4877.0,4699.0
2020-03-08,29250229.0,17703.0,5606.0,5901.0,5873.0
2020-03-09,29245322.0,21222.0,6994.0,7074.0,7363.0
2020-03-10,29239674.0,25215.0,8649.0,8405.0,7787.0
2020-03-11,29233230.0,29701.0,10607.0,9900.0,9691.0
2020-03-12,29225938.0,34696.0,12904.0,11565.0,11697.0
2020-03-13,29217755.0,40207.0,15576.0,13402.0,13535.0
2020-03-14,29208645.0,46233.0,18660.0,15411.0,15925.0
2020-03-15,29198580.0,52765.0,22193.0,17588.0,18321.0
2020-03-16,29187540.0,59788.0,26210.0,19929.0,20439.0
2020-03-17,29175519.0,67273.0,30745.0,22424.0,22845.0
2020-03-18,29162519.0,75188.0,35831.0,25063.0,24921.0
2020-03-19,29148552.0,83490.0,41496.0,27830.0,28515.0
2020-03-20,29133644.0,92128.0,47766.0,30709.0,32217.0
2020-03-21,29117828.0,101047.0,54663.0,33682.0,36197.0
2020-03-22,29101150.0,110182.0,62206.0,36727.0,39253.0
2020-03-23,29083663.0,119467.0,70407.0,39822.0,42308.0
2020-03-24,29065431.0,128832.0,79275.0,42944.0,45144.0
2020-03-25,29046523.0,138203.0,88812.0,46068.0,47705.0
2020-03-26,29027016.0,147506.0,99016.0,49169.0,51168.0
2020-03-27,29006990.0,156667.0,109881.0,52222.0,54598.0
2020-03-28,28986532.0,165614.0,121392.0,55205.0,57073.0
2020-03-29,28965727.0,174277.0,133533.0,58092.0,59892.0
2020-03-30,28944666.0,182591.0,146281.0,60864.0,60707.0
2020-03-31,28923437.0,190493.0,159608.0,63498.0,62112.0
2020-04-01,28902126.0,197929.0,173483.0,65976.0,64390.0
2020-04-02,28880820.0,204847.0,187871.0,68282.0,65924.0
2020-04-03,28859601.0,211204.0,202733.0,70401.0,67487.0
2020-04-04,28838546.0,216963.0,218029.0,72321.0,69770.0
2020-04-05,28817729.0,222096.0,233713.0,74032.0,72178.0
2020-04-06,28797218.0,226579.0,249741.0,75526.0,73671.0
2020-04-07,28777076.0,230396.0,266066.0,76799.0,74173.0
2020-04-08,28757360.0,233539.0,282639.0,77846.0,74864.0
2020-04-09,28738119.0,236007.0,299413.0,78669.0,76063.0
2020-04-10,28719398.0,237802.0,316338.0,79267.0,77031.0
2020-04-11,28701235.0,238934.0,333368.0,79645.0,78541.0
2020-04-12,28683662.0,239419.0,350456.0,79806.0,80129.0
2020-04-13,28666705.0,239277.0,367556.0,79759.0,81235.0
2020-04-14,28650384.0,238530.0,384624.0,79510.0,81597.0
2020-04-15,28634713.0,237207.0,401618.0,79069.0,82665.0
2020-04-16,28619703.0,235338.0,418498.0,78446.0,83425.0
2020-04-17,28605357.0,232955.0,435226.0,77652.0,
