Data,nord,centro,sud,isole
2020-02-28,4.24,2.35,1.0,1.0
2020-02-29,4.02,1.0,1.0,1.0
2020-03-01,4.48,7.0,1.0,1.0
2020-03-02,3.82,6.1,5.27,3.29
2020-03-03,3.49,5.37,4.89,3.75
2020-03-04,3.53,4.74,3.14,5.58
2020-03-05,2.76,5.34,3.62,1.0
2020-03-06,2.81,6.64,4.2,5.22
2020-03-07,2.76,5.25,3.19,6.01
2020-03-08,3.02,4.43,4.29,3.49
2020-03-09,3.14,3.78,3.73,4.73
2020-03-10,3.34,3.71,3.31,4.22
2020-03-11,2.81,3.18,3.61,3.83
2020-03-12,2.67,2.96,2.66,3.15
2020-03-13,2.52,3.01,2.85,3.17
2020-03-14,2.84,3.21,3.14,3.49
2020-03-15,2.66,3.48,3.18,2.8
2020-03-16,2.46,3.47,3.0,2.76
2020-03-17,2.37,3.14,3.08,2.76
2020-03-18,2.2,2.82,2.82,2.83
2020-03-19,2.1,2.74,2.91,2.51
2020-03-20,2.11,2.87,3.01,2.78
2020-03-21,2.15,2.83,2.7,3.07
2020-03-22,2.24,2.61,3.03,3.23
2020-03-23,2.07,2.47,2.48,2.88
2020-03-24,1.91,2.17,2.2,2.46
2020-03-25,1.74,2.0,1.99,2.37
2020-03-26,1.67,1.92,1.87,2.29
2020-03-27,1.64,1.89,1.83,2.37
2020-03-28,1.59,1.91,2.0,2.08
2020-03-29,1.6,1.85,1.99,1.98
2020-03-30,1.53,1.74,2.02,1.67
2020-03-31,1.35,1.7,1.9,1.68
2020-04-01,1.3,1.52,1.75,1.55
2020-04-02,1.24,1.41,1.65,1.5
2020-04-03,1.27,1.43,1.54,1.45
2020-04-04,1.29,1.41,1.54,1.39
2020-04-05,1.27,1.41,1.54,1.41
2020-04-06,1.28,1.3,1.47,1.36
2020-04-07,1.29,1.25,1.32,1.3
2020-04-08,1.21,1.21,1.33,1.21
2020-04-09,1.13,1.2,1.26,1.18
2020-04-10,1.11,1.21,1.23,1.19
2020-04-11,1.13,1.21,1.25,1.19
2020-04-12,1.17,1.22,1.19,1.18
2020-04-13,1.17,1.22,1.19,1.13
2020-04-14,1.18,1.2,1.14,1.14
2020-04-15,1.13,1.17,1.12,1.09
