data,S,I,R,sintomatici_modello,sintomatici_data
2020-02-19,12336958.0,2.0,0.0,1.0,
2020-02-20,12336957.0,3.0,0.0,1.0,
2020-02-21,12336956.0,4.0,0.0,1.0,
2020-02-22,12336954.0,6.0,1.0,2.0,
2020-02-23,12336951.0,8.0,1.0,3.0,
2020-02-24,12336947.0,11.0,2.0,4.0,0.0
2020-02-25,12336942.0,15.0,3.0,5.0,0.0
2020-02-26,12336935.0,21.0,4.0,7.0,0.0
2020-02-27,12336924.0,30.0,6.0,10.0,4.0
2020-02-28,12336909.0,42.0,8.0,14.0,8.0
2020-02-29,12336889.0,59.0,12.0,20.0,17.0
2020-03-01,12336862.0,81.0,17.0,27.0,21.0
2020-03-02,12336827.0,109.0,24.0,36.0,22.0
2020-03-03,12336781.0,147.0,33.0,49.0,38.0
2020-03-04,12336721.0,194.0,45.0,65.0,40.0
2020-03-05,12336646.0,254.0,61.0,85.0,60.0
2020-03-06,12336551.0,328.0,81.0,109.0,79.0
2020-03-07,12336433.0,419.0,108.0,140.0,91.0
2020-03-08,12336288.0,530.0,142.0,177.0,149.0
2020-03-09,12336112.0,664.0,184.0,221.0,179.0
2020-03-10,12335900.0,822.0,237.0,274.0,199.0
2020-03-11,12335648.0,1010.0,302.0,337.0,245.0
2020-03-12,12335350.0,1228.0,382.0,409.0,312.0
2020-03-13,12335001.0,1480.0,479.0,493.0,381.0
2020-03-14,12334597.0,1769.0,594.0,590.0,468.0
2020-03-15,12334132.0,2096.0,732.0,699.0,585.0
2020-03-16,12333602.0,2463.0,895.0,821.0,674.0
2020-03-17,12333002.0,2872.0,1085.0,957.0,875.0
2020-03-18,12332330.0,3324.0,1306.0,1108.0,938.0
2020-03-19,12331580.0,3819.0,1561.0,1273.0,1255.0
2020-03-20,12330751.0,4356.0,1853.0,1452.0,1506.0
2020-03-21,12329840.0,4936.0,2184.0,1645.0,1726.0
2020-03-22,12328846.0,5555.0,2559.0,1852.0,1955.0
2020-03-23,12327769.0,6212.0,2979.0,2071.0,2160.0
2020-03-24,12326609.0,6904.0,3447.0,2301.0,2327.0
2020-03-25,12325367.0,7627.0,3966.0,2542.0,2540.0
2020-03-26,12324045.0,8378.0,4537.0,2793.0,2769.0
2020-03-27,12322646.0,9151.0,5163.0,3050.0,3144.0
2020-03-28,12321173.0,9942.0,5845.0,3314.0,3466.0
2020-03-29,12319632.0,10745.0,6584.0,3582.0,3762.0
2020-03-30,12318026.0,11554.0,7380.0,3851.0,4134.0
2020-03-31,12316362.0,12364.0,8234.0,4121.0,4347.0
2020-04-01,12314645.0,13169.0,9146.0,4390.0,4567.0
2020-04-02,12312882.0,13962.0,10115.0,4654.0,4864.0
2020-04-03,12311081.0,14739.0,11140.0,4913.0,5210.0
2020-04-04,12309247.0,15492.0,12220.0,5164.0,5375.0
2020-04-05,12307389.0,16218.0,13353.0,5406.0,5603.0
2020-04-06,12305513.0,16910.0,14536.0,5637.0,5797.0
2020-04-07,12303627.0,17565.0,15768.0,5855.0,5900.0
2020-04-08,12301738.0,18178.0,17045.0,6059.0,6122.0
2020-04-09,12299852.0,18744.0,18364.0,6248.0,6214.0
